,poverty_rate,per_capita_income_2007,year,fips
680,15.6,38983.0,2007,17145.0
681,6.8,55009.0,2007,17147.0
682,13.7,39219.0,2007,17149.0
683,21.0,36421.0,2007,17151.0
684,24.2,31087.0,2007,17153.0
685,6.9,55134.0,2007,17155.0
686,12.8,42980.0,2007,17157.0
687,14.3,38467.0,2007,17159.0
688,13.2,45209.0,2007,17161.0
689,15.8,46428.0,2007,17163.0
690,18.6,33724.0,2007,17165.0
691,12.8,48330.0,2007,17167.0
692,12.1,41023.0,2007,17169.0
693,10.5,44254.0,2007,17171.0
694,12.1,41337.0,2007,17173.0
695,9.9,43043.0,2007,17175.0
696,14.3,43450.0,2007,17177.0
697,8.0,52745.0,2007,17179.0
698,20.9,37923.0,2007,17181.0
699,18.6,38036.0,2007,17183.0
700,12.6,45931.0,2007,17185.0
701,12.9,41477.0,2007,17187.0
702,7.8,48727.0,2007,17189.0
703,14.7,37783.0,2007,17191.0
704,14.1,39797.0,2007,17193.0
705,11.2,43920.0,2007,17195.0
706,5.9,71597.0,2007,17197.0
707,16.3,38914.0,2007,17199.0
708,13.8,48394.0,2007,17201.0
709,5.9,62349.0,2007,17203.0
711,12.5,46601.0,2007,18001.0
712,10.9,47947.0,2007,18003.0
713,10.9,53395.0,2007,18005.0
714,10.2,44637.0,2007,18007.0
715,12.6,40996.0,2007,18009.0
716,6.6,65106.0,2007,18011.0
717,10.3,52038.0,2007,18013.0
718,9.1,48013.0,2007,18015.0
719,11.6,43794.0,2007,18017.0
720,10.3,45450.0,2007,18019.0
721,10.8,42755.0,2007,18021.0
722,11.2,46258.0,2007,18023.0
723,16.6,37942.0,2007,18025.0
724,15.0,41174.0,2007,18027.0
725,7.2,56660.0,2007,18029.0
726,10.0,45711.0,2007,18031.0
727,8.8,49051.0,2007,18033.0
728,18.0,38501.0,2007,18035.0
729,8.8,54404.0,2007,18037.0
730,11.1,49395.0,2007,18039.0
731,14.2,39948.0,2007,18041.0
732,10.8,52734.0,2007,18043.0
733,12.2,42847.0,2007,18045.0
734,9.3,51541.0,2007,18047.0
735,10.8,45944.0,2007,18049.0
736,10.5,47197.0,2007,18051.0
737,17.4,37131.0,2007,18053.0
738,13.3,41419.0,2007,18055.0
739,3.9,83059.0,2007,18057.0
740,4.8,65421.0,2007,18059.0
741,9.7,50418.0,2007,18061.0
742,5.0,66432.0,2007,18063.0
743,10.3,42306.0,2007,18065.0
