,total_pop,pct_female,pct_white,pct_black,pct_native_american,pct_asian,pct_native_hawaiian_pacific_islander,pct_two_or_more_races,pct_hispanic,fips
265,26230,49.5,91.4,0.3,1.1,1.0,0.0,5.2,7.4,08039
266,710499,49.5,78.3,6.3,0.8,2.6,0.3,7.8,17.5,08041
267,47725,41.7,89.8,4.8,1.2,0.8,0.0,2.3,13.4,08043
268,59605,48.9,84.7,0.5,0.5,0.8,0.1,4.7,28.6,08045
269,6108,46.0,93.2,0.6,2.7,0.0,0.0,3.5,8.7,08047
270,15536,46.0,92.8,0.8,0.9,0.7,0.2,4.1,9.2,08049
271,17119,45.6,94.3,0.3,1.2,0.4,0.0,2.9,9.6,08051
272,781,58.0,92.2,1.7,2.7,0.4,0.0,1.3,9.6,08053
273,6769,49.1,91.3,0.1,2.8,0.0,0.0,3.9,33.7,08055
274,1316,48.5,98.6,0.6,0.0,0.0,0.0,0.8,11.0,08057
275,578795,50.1,88.4,1.1,0.7,2.8,0.1,4.7,15.5,08059
276,1463,52.3,98.4,0.3,0.1,0.0,0.0,0.9,4.5,08061
277,7246,48.3,89.5,0.4,0.6,0.1,0.6,3.0,18.8,08063
278,7845,44.2,81.0,0.1,3.2,0.5,0.1,9.3,26.1,08065
279,56138,49.7,86.2,0.6,6.4,0.8,0.0,3.5,12.9,08067
280,350523,50.2,89.2,1.0,0.7,2.2,0.1,5.0,11.7,08069
281,14323,47.7,82.7,1.1,4.1,0.6,0.0,8.2,41.1,08071
282,5608,37.7,90.4,7.4,0.4,0.4,0.2,0.8,21.9,08073
283,22282,44.8,88.2,1.5,0.9,0.8,1.5,4.6,17.0,08075
284,152962,50.6,92.0,0.7,0.9,1.1,0.1,3.7,14.7,08077
285,853,53.3,82.5,1.3,1.5,5.5,0.0,7.9,4.0,08079
286,13150,48.6,91.3,0.8,0.7,0.1,0.0,6.1,15.9,08081
287,26266,50.7,80.8,1.1,11.9,0.8,0.1,2.7,12.8,08083
288,42280,50.6,90.8,0.2,1.3,1.0,0.1,4.9,20.6,08085
289,28617,48.9,83.5,3.1,0.4,0.5,0.2,7.9,36.1,08087
290,18284,50.9,85.9,0.8,1.1,1.2,0.0,5.6,42.2,08089
291,4890,50.9,94.9,1.6,0.4,0.0,0.1,2.9,2.7,08091
292,18345,47.2,93.1,0.3,0.9,0.6,0.0,4.0,6.4,08093
293,4343,46.1,93.3,0.0,1.9,0.4,0.0,2.8,30.6,08095
294,17980,47.1,90.4,0.5,0.1,2.3,0.0,3.2,10.3,08097
295,12035,48.9,90.6,0.8,2.0,0.6,0.0,3.7,38.4,08099
296,167412,50.8,80.0,2.0,3.1,0.9,0.1,5.7,43.2,08101
297,6369,48.6,91.6,0.3,1.3,0.6,0.0,5.7,10.3,08103
298,11300,49.8,88.6,0.1,2.9,0.1,0.0,4.4,44.4,08105
299,25317,47.5,93.4,1.0,0.3,1.4,0.0,2.8,7.0,08107
300,6730,50.1,88.6,1.1,1.4,0.1,0.0,5.1,35.9,08109
301,646,50.6,94.3,0.0,0.0,0.0,0.0,5.7,24.0,08111
302,8110,47.9,94.3,0.0,0.9,1.4,0.0,2.5,10.9,08113
303,2306,51.2,89.4,0.4,0.4,0.5,0.0,5.2,19.1,08115
304,30735,46.5,89.2,0.3,0.3,0.9,0.4,3.6,14.4,08117
305,24981,49.7,92.3,0.7,0.9,0.2,0.0,5.6,7.0,08119
306,4869,47.0,94.8,1.5,0.0,0.4,0.0,2.5,10.5,08121
307,315389,49.5,87.3,1.2,0.6,1.7,0.1,5.4,29.6,08123
308,10013,49.3,91.0,1.4,0.7,0.0,0.0,4.2,23.9,08125
309,944306,51.3,70.8,11.4,0.2,5.4,0.1,5.1,20.0,09001
310,892153,51.4,68.8,13.8,0.3,5.5,0.0,5.4,18.4,09003
311,181143,50.6,91.7,1.7,0.2,1.9,0.0,3.0,6.6,09005
312,162742,51.2,86.8,5.5,0.3,3.2,0.0,3.2,6.4,09007
313,855733,51.8,71.6,13.6,0.2,4.1,0.0,4.6,18.6,09009
314,266868,49.9,79.9,5.9,0.6,4.1,0.0,6.1,11.1,09011
315,150947,49.9,87.1,3.0,0.1,4.7,0.0,3.0,5.7,09013
316,116657,50.5,88.3,2.5,0.4,1.4,0.0,4.6,12.2,09015
317,179124,51.8,65.2,25.6,0.7,2.1,0.0,5.3,7.3,10001
318,558306,51.6,62.6,25.2,0.3,5.7,0.0,3.6,10.2,10003
319,230249,51.7,81.0,11.3,0.4,1.2,0.2,3.5,9.2,10005
320,701974,52.5,41.1,45.4,0.3,4.1,0.0,4.2,11.1,11001
321,268105,51.7,67.2,20.1,0.3,6.1,0.1,4.8,10.2,12001
322,28679,46.5,80.1,14.6,0.3,0.2,0.0,4.4,2.7,12003
323,180076,50.4,80.4,10.7,0.3,2.3,0.1,4.6,6.6,12005
324,27723,44.6,76.9,20.4,0.4,0.7,0.0,1.2,4.3,12007
325,594001,51.1,80.9,9.9,0.3,2.4,0.1,4.6,10.6,12009
326,1942273,51.3,56.8,28.6,0.3,3.6,0.1,7.1,30.2,12011
327,14324,44.7,79.6,13.4,1.5,0.2,0.0,3.5,6.0,12013
328,185926,51.1,89.0,5.5,0.2,1.3,0.1,2.8,7.5,12015
329,147938,51.3,91.7,2.7,0.3,1.8,0.0,2.6,5.9,12017
330,215294,50.7,77.2,11.0,0.1,2.8,0.0,6.3,10.2,12019
331,379345,50.8,84.5,6.8,0.2,1.5,0.0,5.2,28.0,12021
332,70898,48.3,75.6,18.2,0.2,1.0,0.0,3.7,6.4,12023
333,37371,43.7,81.9,12.1,0.1,0.4,0.1,3.0,31.5,12027
334,16740,42.7,85.9,8.3,0.0,0.2,0.0,3.9,4.2,12029
335,948651,51.5,57.9,29.5,0.2,4.7,0.1,5.1,10.2,12031
