year,fips,covid_cases
2020,13201,436
2021,13201,1011
2022,13201,1328
2020,13205,1133
2021,13205,2243
2022,13205,3171
2020,13207,1242
2021,13207,2955
2022,13207,4060
2020,13209,521
2021,13209,1160
2022,13209,1497
2020,13211,780
2021,13211,2103
2022,13211,3017
2020,13213,2603
2021,13213,6658
2022,13213,9314
2020,13215,8717
2021,13215,22454
2022,13215,33265
2020,13217,4582
2021,13217,13196
2022,13217,19191
2020,13219,1664
2021,13219,4929
2022,13219,7286
2020,13221,721
2021,13221,1812
2022,13221,2491
2020,13223,5890
2021,13223,19473
2022,13223,27617
2020,13225,1188
2021,13225,2824
2022,13225,3880
2020,13227,1478
2021,13227,3863
2022,13227,5316
2020,13229,879
2021,13229,2160
2022,13229,2815
2020,13231,618
2021,13231,1996
2022,13231,2806
2020,13233,2538
2021,13233,6825
2022,13233,9462
2020,13235,436
2021,13235,915
2022,13235,1245
2020,13237,1173
2021,13237,2809
2022,13237,3809
2020,13239,49
2021,13239,125
2022,13239,243
2020,13241,1004
2021,13241,2250
2022,13241,2877
2020,13243,359
2021,13243,621
2022,13243,872
2020,13245,12463
2021,13245,27985
2022,13245,38110
2020,13247,3557
2021,13247,10887
2022,13247,16367
2020,13249,153
2021,13249,350
2022,13249,538
2020,13251,522
2021,13251,1372
2022,13251,1890
2020,13253,560
2021,13253,1239
2022,13253,1686
2020,13255,2532
2021,13255,7602
2022,13255,10862
2020,13257,2134
2021,13257,4707
2022,13257,6025
2020,13259,607
2021,13259,1422
2022,13259,2363
2020,13261,1305
2021,13261,2932
2022,13261,3978
2020,13263,240
2021,13263,637
2022,13263,969
2020,13265,48
2021,13265,130
2022,13265,185
2020,13267,1252
2021,13267,2739
2022,13267,3453
2020,13269,345
2021,13269,809
2022,13269,1164
2020,13271,574
2021,13271,985
2022,13271,1274
2020,13273,445
2021,13273,849
2022,13273,1203
2020,13275,2308
2021,13275,6195
2022,13275,8986
2020,13277,2875
2021,13277,4983
2022,13277,6381
2020,13279,2072
2021,13279,4494
2022,13279,5567
