,poverty_rate,fips,year,per_capita_income_2022
747,18.4,2290,2002,48683.25
748,17.5,2290,2003,48222.72
749,18.6,2290,2004,48250.8
750,26.1,2290,2005,46978.64
751,24.1,2290,2006,45395.78
752,23.7,2290,2007,45577.74
753,24.9,2290,2008,45765.0
754,22.7,2290,2009,44011.25
755,28.3,4001,2002,39982.799999999996
756,27.6,4001,2003,41148.380000000005
757,29.8,4001,2004,41483.520000000004
758,41.7,4001,2005,39988.16
759,34.5,4001,2006,40296.0
760,33.4,4001,2007,42565.92
761,33.2,4001,2008,42832.8
762,35.4,4001,2009,39669.72
763,16.7,4003,2002,54945.0
764,16.3,4003,2003,56029.61
765,17.1,4003,2004,57072.6
766,16.9,4003,2005,55169.92
767,18.0,4003,2006,56684.5
768,16.3,4003,2007,61052.899999999994
769,16.0,4003,2008,59400.00000000001
770,16.2,4003,2009,59986.82000000001
771,15.4,4005,2002,62572.95
772,15.6,4005,2003,62844.740000000005
773,16.5,4005,2004,62462.4
774,18,4005,2005,62997.92
